Date,# of connections,IO Size (GB),Total Time
Fri Mar 25 15:18:59 2022,8,4,292.612
Fri Mar 25 15:24:02 2022,8,4,259.919
Fri Mar 25 15:28:36 2022,8,4,320.618
Fri Mar 25 15:34:09 2022,4,4,184.749
Fri Mar 25 15:37:27 2022,8,4,344.878
Fri Mar 25 15:43:16 2022,8,4,304.892
Fri Mar 25 15:48:34 2022,4,4,329.838
Fri Mar 25 15:54:07 2022,4,4,301.698
Fri Mar 25 15:59:26 2022,8,4,310.138
Fri Mar 25 16:04:44 2022,4,4,295.144
Fri Mar 25 16:09:47 2022,4,4,165.806
Fri Mar 25 16:12:36 2022,4,4,346.596
Fri Mar 25 16:18:39 2022,4,4,229.495
Fri Mar 25 16:22:42 2022,4,4,289.369
Fri Mar 25 16:27:46 2022,4,4,247.774
Fri Mar 25 16:32:04 2022,8,4,238.875
Fri Mar 25 16:36:07 2022,8,4,363.51
Fri Mar 25 16:42:26 2022,4,4,203.329
Fri Mar 25 16:45:59 2022,8,4,238.408
Fri Mar 25 16:50:02 2022,8,4,309.662
