Date,Object Size (KB),Total Time,Start Timestamp,End Timestamp
Mon Jul 18 14:32:10 2022,4096.0,77.7459,1658169130490,1658169226101
Mon Jul 18 14:33:58 2022,1024.0,77.9525,1658169238715,1658169341897
Mon Jul 18 14:35:46 2022,16384.0,78.2276,1658169346948,1658169444955
Mon Jul 18 14:37:35 2022,16384.0,77.9933,1658169455519,1658169554536
Mon Jul 18 14:39:23 2022,4096.0,77.5977,1658169563529,1658169658032
Mon Jul 18 14:41:12 2022,4096.0,77.5962,1658169672764,1658169767500
Mon Jul 18 14:43:00 2022,1024.0,77.6442,1658169780472,1658169881111
Mon Jul 18 14:44:48 2022,1024.0,77.6606,1658169888910,1658169987117
Mon Jul 18 14:46:36 2022,16384.0,78.1925,1658169996895,1658170092430
