Date,Chunk Size (KB),Type,Total Time,Start Timestamp,End Timestamp,# of Lambda request,# of request
Tue Aug  9 20:23:49 2022,256.0,Lambda,36.8382,1660091029193,1660091082736,484,14884
Tue Aug  9 20:24:53 2022,256.0,Lambda,36.9325,1660091093493,1660091149769,484,14884
Tue Aug  9 20:25:56 2022,4096.0,Lambda,35.662,1660091156885,1660091208659,124,1024
Tue Aug  9 20:27:00 2022,1024.0,Lambda,40.4882,1660091220835,1660091281627,244,3844
Tue Aug  9 20:28:18 2022,65536.0,Lambda,35.9347,1660091299234,1660091353435,28,64
Tue Aug  9 20:29:22 2022,65536.0,Lambda,36.4165,1660091362662,1660091415237,28,64
Tue Aug  9 20:30:26 2022,65536.0,Lambda,36.6927,1660091426784,1660091482060,28,64
Tue Aug  9 20:31:29 2022,4096.0,Lambda,36.0224,1660091489977,1660091545087,124,1024
Tue Aug  9 20:32:33 2022,16384.0,Lambda,36.2703,1660091553784,1660091607085,60,256
Tue Aug  9 20:33:37 2022,16384.0,Lambda,36.0909,1660091617809,1660091669792,60,256
Tue Aug  9 20:34:40 2022,64.0,Lambda,37.7383,1660091680541,1660091734081,964,58564
Tue Aug  9 20:35:43 2022,64.0,Lambda,37.581,1660091744168,1660091801443,964,58564
Tue Aug  9 20:36:47 2022,1024.0,Lambda,40.2256,1660091807585,1660091866584,244,3844
Tue Aug  9 20:37:50 2022,64.0,Lambda,38.0417,1660091871084,1660091924936,964,58564
Tue Aug  9 20:38:54 2022,16384.0,Lambda,36.0644,1660091934976,1660091989509,60,256
Tue Aug  9 20:39:58 2022,4096.0,Lambda,37.7641,1660091998333,1660092052684,124,1024
Tue Aug  9 20:41:01 2022,256.0,Lambda,36.2863,1660092062150,1660092116510,484,14884
Tue Aug  9 20:42:05 2022,1024.0,Lambda,36.0225,1660092125467,1660092180052,244,3844
