Date,Chunk Size (KB),Chunk Size,Type,Total Time,# of request,Data Transferred Size (Byte),Total Cost
Mon Aug  1 22:06:05 2022,1024,1,Multi-fetch,44.85,71054,3798749956,0.2053
Mon Aug  1 22:07:24 2022,16384,16,Multi-fetch,40.29,91860,3798749956,0.2136
Mon Aug  1 22:08:28 2022,64,0.0625,Multi-fetch,52.07,142514,3798749956,0.2339
Mon Aug  1 22:09:47 2022,256,0.25,Merge,36.4,14884,3849703656,0.1852
Mon Aug  1 22:10:50 2022,64,0.0625,Merge,37.49,58564,3818195656,0.2012
Mon Aug  1 22:11:54 2022,64,0.0625,Multi-fetch,49.59,142514,3798749956,0.2339
Mon Aug  1 22:13:13 2022,256,0.25,Multi-fetch,46.41,87674,3798749956,0.212
Mon Aug  1 22:14:32 2022,16384,16,Multi-fetch,40.46,91860,3798749956,0.2136
Mon Aug  1 22:15:36 2022,256,0.25,Merge,36.38,14884,3849703656,0.1852
Mon Aug  1 22:16:39 2022,16384,16,Merge,38.01,256,4039120960,0.1882
Mon Aug  1 22:17:43 2022,4096,4,Multi-fetch,43.78,65444,3798749956,0.2031
Mon Aug  1 22:19:02 2022,16384,16,Merge,37.71,256,4039120960,0.1882
Mon Aug  1 22:20:06 2022,256,0.25,Multi-fetch,46.2,87674,3798749956,0.212
Mon Aug  1 22:21:24 2022,16384,16,Multi-fetch,40.57,91860,3798749956,0.2136
Mon Aug  1 22:22:28 2022,4096,4,Multi-fetch,42.42,65444,3798749956,0.2031
Mon Aug  1 22:23:47 2022,1024,1,Merge,36.7,3844,3912789496,0.1837
Mon Aug  1 22:24:51 2022,16384,16,Merge,37.9,256,4039120960,0.1882
Mon Aug  1 22:25:55 2022,64,0.0625,Merge,36.79,58564,3818195656,0.2012
Mon Aug  1 22:26:58 2022,4096,4,Multi-fetch,43.6,65444,3798749956,0.2031
Mon Aug  1 22:28:02 2022,256,0.25,Multi-fetch,45.8,87674,3798749956,0.212
Mon Aug  1 22:29:21 2022,1024,1,Merge,36.75,3844,3912789496,0.1837
Mon Aug  1 22:30:24 2022,1024,1,Merge,36.85,3844,3912789496,0.1837
Mon Aug  1 22:31:28 2022,1024,1,Multi-fetch,44.78,71054,3798749956,0.2053
Mon Aug  1 22:32:47 2022,256,0.25,Merge,36.64,14884,3849703656,0.1852
Mon Aug  1 22:33:51 2022,64,0.0625,Multi-fetch,50.47,142514,3798749956,0.2339
Mon Aug  1 22:35:10 2022,64,0.0625,Merge,36.98,58564,3818195656,0.2012
Mon Aug  1 22:36:13 2022,4096,4,Merge,37.61,1024,4038996096,0.1885
Mon Aug  1 22:37:17 2022,4096,4,Merge,37.58,1024,4038996096,0.1885
Mon Aug  1 22:38:21 2022,1024,1,Multi-fetch,44.58,71054,3798749956,0.2053
Mon Aug  1 22:39:39 2022,4096,4,Merge,37.64,1024,4038996096,0.1885
Mon Jul 25 17:57:24 2022,256,0.25,GET,36.99,,,0.1882
Mon Jul 25 17:59:31 2022,4096,4,GET,39.52,,,0.2004
Mon Jul 25 18:01:52 2022,64,0.0625,GET,36.87,,,0.2049
Mon Jul 25 18:02:56 2022,16384,16,GET,39.91,,,0.2001
Mon Jul 25 18:04:00 2022,1024,1,GET,37.54,,,0.1893
Mon Jul 25 18:08:15 2022,1024,1,GET,37.98,,,0.1893
Mon Jul 25 18:09:18 2022,4096,4,GET,39.65,,,0.2004
Mon Jul 25 18:11:55 2022,64,0.0625,GET,37.24,,,0.2049
Mon Jul 25 18:12:59 2022,64,0.0625,GET,37.06,,,0.2049
Mon Jul 25 18:14:02 2022,16384,16,GET,40.08,,,0.2001
Mon Jul 25 18:17:28 2022,1024,1,GET,37.49,,,0.1893
Mon Jul 25 18:18:31 2022,16384,16,GET,40.08,,,0.2001
Mon Jul 25 18:25:07 2022,256,0.25,GET,36.97,,,0.1882
Mon Jul 25 18:26:11 2022,4096,4,GET,39.79,,,0.2004
Mon Jul 25 18:27:15 2022,256,0.25,GET,36.66,,,0.1882
Tue Aug  9 20:23:49 2022,256,0.25,Lambda,36.84,,,0.1840
Tue Aug  9 20:24:53 2022,256,0.25,Lambda,36.93,,,0.1838
Tue Aug  9 20:25:56 2022,4096,4,Lambda,35.66,,,0.1777
Tue Aug  9 20:27:00 2022,1024,1,Lambda,40.49,,,0.1790
Tue Aug  9 20:28:18 2022,65536,64,Lambda,35.93,,,0.1821
Tue Aug  9 20:29:22 2022,65536,64,Lambda,36.42,,,0.1819
Tue Aug  9 20:30:26 2022,65536,64,Lambda,36.69,,,0.1819
Tue Aug  9 20:31:29 2022,4096,4,Lambda,36.02,,,0.1777
Tue Aug  9 20:32:33 2022,16384,16,Lambda,36.27,,,0.1776
Tue Aug  9 20:33:37 2022,16384,16,Lambda,36.09,,,0.1775
Tue Aug  9 20:34:40 2022,64,0.0625,Lambda,37.74,,,0.2024
Tue Aug  9 20:35:43 2022,64,0.0625,Lambda,37.58,,,0.2020
Tue Aug  9 20:36:47 2022,1024,1,Lambda,40.23,,,0.1790
Tue Aug  9 20:37:50 2022,64,0.0625,Lambda,38.04,,,0.2020
Tue Aug  9 20:38:54 2022,16384,16,Lambda,36.06,,,0.1775
Tue Aug  9 20:39:58 2022,4096,4,Lambda,37.76,,,0.1777
Tue Aug  9 20:41:01 2022,256,0.25,Lambda,36.29,,,0.1838
Tue Aug  9 20:42:05 2022,1024,1,Lambda,36.02,,,0.1790
