Date,Chunk Size,Type,Total Time,Transferred Size (bytes),Start Timestamp,End Timestamp,# of Lambda request,# of request,Lambda time (ms),Cost
Mon Aug 29 14:00:21 2022,4,GET,12.24,1073741824,1661796021954,1661796051445,0,256,0,0.0501024
Mon Aug 29 14:00:58 2022,4,Hybrid,11.58,823001344,1661796060054,1661796089911,32,256,22128,0.038525170930304
Mon Aug 29 14:01:46 2022,4,GET,12.53,1073741824,1661796107129,1661796137183,0,256,0,0.0501024
Mon Aug 29 14:02:19 2022,4,Hybrid,10.49,823001344,1661796140012,1661796175716,32,256,8299,0.038467434855304
Mon Aug 29 14:03:08 2022,4,Hybrid,10.06,823001344,1661796189059,1661796217548,32,256,7683,0.038464863055304
Mon Aug 29 14:03:42 2022,4,GET,12.93,1073741824,1661796223503,1661796255512,0,256,0,0.0501024
,4,TileDB,15.64,1074247680,,,0,99,0,0.050063155755615
,4,TileDB,15.38,1074247680,,,0,99,0,0.050063155755615
,4,TileDB,15.15,1074247680,,,0,99,0,0.050063155755615
,4,HSDS,19.46,1073743013,,,0,259,0,0.050103655367127
,4,HSDS,18.15,1073743013,,,0,259,0,0.050103655367127
,4,HSDS,17.04,1073743013,,,0,259,0,0.050103655367127
