Date,Chunk Size,Type,Total Time,Transferred Size (bytes),Start Timestamp,End Timestamp,# of Lambda request,# of request,Billed duration (ms),Cost
Fri Sep  2 15:23:43 2022,4,Hybrid,1.10714,6291456,1662146623945,1662146644353,32,32,9328,0.0003899022388
Fri Sep  2 15:24:17 2022,4,Hybrid,1.12454,6291456,1662146657703,1662146677349,32,32,8486,0.0003828855581
Fri Sep  2 15:24:50 2022,4,Hybrid,1.32314,6291456,1662146691003,1662146710250,32,32,9883,0.00039452724805
,4,TileDB,2.20563101768494,134549760,,,0,35,0,0.006279461444855
,4,TileDB,2.75529384613037,134549760,,,0,35,0,0.006279461444855
,4,TileDB,2.97260236740112,134549760,,,0,35,0,0.006279461444855
,4,HSDS,3.08443284034729,134219429,,,0,35,0,0.006264079208985
,4,HSDS,3.24328064918518,134219429,,,0,35,0,0.006264079208985
,4,HSDS,3.14865684509277,134219429,,,0,35,0,0.006264079208985
,4,HSLAMBDA-10G,7.60750675201416,6291456,,,1,0,11850,0.0022681727
,4,HSLAMBDA-10G,9.05924701690674,6291456,,,1,0,10105,0.001977338785
,4,HSLAMBDA-10G,10.3126592636108,6291456,,,1,0,8900,0.00177650505
,4,HSLAMBDA-1G,26.2064275741577,6291456,,,1,0,28078,0.0007611363526
,4,HSLAMBDA-1G,27.0603010654449,6291456,,,1,0,27433,0.0007503863311
,4,HSLAMBDA-1G,27.6045277118683,6291456,,,1,0,26899,0.0007414863133
