Date,# of requests,Total Time,Start Timestamp,End Timestamp,Read Data Time(s),Write Back Time(s),Billed Duration(ms)
Tue Sep 13 17:40:01 2022,256,39.5532,1663105201420,1663105436274,0.488339185714721,8.12478351593017,8698.0
Tue Sep 13 17:44:14 2022,4,4.89467,1663105455573,1663105478292,0.428665161132812,0.820926427841186,1335.0
Tue Sep 13 17:44:47 2022,4,5.09123,1663105487176,1663105511462,0.3355493545532226,0.574923515319824,999.0
Tue Sep 13 17:45:21 2022,4,1.76437,1663105522149,1663105547909,0.332913398742675,0.508315801620483,925.0
Tue Sep 13 17:45:54 2022,1,1.56189,1663105554950,1663105574300,0.350284576416015,0.508908987045288,942.0
Tue Sep 13 17:46:28 2022,64,10.5279,1663105588013,1663105616397,0.2576816082000732,1.21889805793762,1562.0
Tue Sep 13 17:47:01 2022,64,10.2411,1663105621307,1663105652561,0.298157930374145,1.338907480239868,1722.0
Tue Sep 13 17:47:49 2022,16,5.90862,1663105669314,1663105698250,0.253904104232788,0.79652523994445,1135.0
Tue Sep 13 17:48:22 2022,16,5.42711,1663105702547,1663105728342,0.2944438457489013,1.103838205337524,1483.0
Tue Sep 13 17:48:55 2022,1,1.45602,1663105735607,1663105757298,0.26908516883850,0.4690322875976562,821.0
Tue Sep 13 17:49:28 2022,1,1.67821,1663105768808,1663105791843,0.258530378341674,0.615354776382446,923.0
Tue Sep 13 17:50:01 2022,256,37.9462,1663105802098,1663105860123,0.26437377929687,5.772126436233520,6116.0
Tue Sep 13 17:51:05 2022,256,38.2877,1663105866639,1663105921773,0.28581357002258,15.40567493438720,15760.0
Tue Sep 13 17:52:09 2022,16,5.25462,1663105930297,1663105954106,0.299056529998779,2.109079837799072,2496.0
Tue Sep 13 17:52:43 2022,64,10.9536,1663105964081,1663105998214,0.2810010910034179,3.588047027587890,3954.0
