Date,Type,chunk size (MB),Total Time
Fri Jan 27 02:01:42 2023,Azure,32.0,1636.48
Fri Jan 27 02:32:08 2023,Google,8.0,314.398
Fri Jan 27 02:37:26 2023,Google,16.0,741.206
Fri Jan 27 02:50:00 2023,S3,4.0,150.906
Fri Jan 27 02:52:33 2023,Azure,8.0,328.201
Fri Jan 27 02:58:06 2023,Azure,8.0,433.334
Fri Jan 27 03:05:25 2023,Google,4.0,184.989
Fri Jan 27 03:08:43 2023,Google,2.0,115.726
Fri Jan 27 03:10:46 2023,Azure,16.0,1082.48
Fri Jan 27 03:29:05 2023,S3,2.0,77.9094
Fri Jan 27 03:30:39 2023,Google,1.0,100.69
Fri Jan 27 03:32:27 2023,Azure,16.0,618.567
Fri Jan 27 03:43:00 2023,S3,8.0,298.009
Fri Jan 27 03:48:04 2023,Google,4.0,177.391
Fri Jan 27 04:01:40 2023,S3,2.0,78.4147
Fri Jan 27 04:03:14 2023,S3,1.0,42.1866
Fri Jan 27 04:04:02 2023,Azure,2.0,119.258
Fri Jan 27 04:06:05 2023,Azure,1.0,75.7927
Fri Jan 27 04:07:38 2023,S3,4.0,151.776
Fri Jan 27 04:10:26 2023,S3,4.0,151.163
Fri Jan 27 04:16:06 2023,Azure,4.0,184.17
Fri Jan 27 04:19:24 2023,Google,2.0,122.888
Fri Jan 27 04:21:42 2023,Google,32.0,1539.07
Fri Jan 27 04:47:32 2023,S3,8.0,297.349
Fri Jan 27 04:52:35 2023,Google,8.0,361.452
Fri Jan 27 04:58:53 2023,Azure,8.0,330.918
Fri Jan 27 05:04:42 2023,Azure,4.0,178.292
Fri Jan 27 05:09:18 2023,S3,1.0,41.513
Fri Jan 27 05:10:06 2023,Azure,2.0,122.902
Fri Jan 27 05:12:24 2023,Google,8.0,306.762
Fri Jan 27 05:17:43 2023,Google,1.0,129.928
Fri Jan 27 05:20:01 2023,Azure,2.0,119.243
Fri Jan 27 05:22:04 2023,Azure,1.0,81.4266
Fri Jan 27 05:23:37 2023,Google,32.0,1523.53
Fri Jan 27 05:49:12 2023,Azure,32.0,1590.69
Fri Jan 27 06:15:46 2023,Azure,32.0,1846.67
Fri Jan 27 06:46:36 2023,S3,8.0,297.379
Fri Jan 27 06:51:39 2023,Google,16.0,615.395
Fri Jan 27 07:01:58 2023,Google,32.0,1514.16
Fri Jan 27 07:27:17 2023,S3,1.0,46.7296
Fri Jan 27 07:28:20 2023,Azure,1.0,338.616
Fri Jan 27 07:34:09 2023,Azure,4.0,179.644
Fri Jan 27 07:37:12 2023,S3,2.0,77.6817
Fri Jan 27 07:38:45 2023,Google,4.0,166.873
Fri Jan 27 07:41:48 2023,Google,1.0,98.5415
Fri Jan 27 07:43:37 2023,Azure,16.0,1018.55
Fri Jan 27 08:02:14 2023,Google,2.0,116.577
Mon Jan 30 10:53:37 2023,S3,16.0,590.782
Mon Jan 30 11:03:41 2023,S3,32.0,1174.1
Mon Jan 30 11:23:30 2023,S3,32.0,1173.47
Mon Jan 30 11:43:19 2023,S3,32.0,1174.06
Mon Jan 30 12:03:08 2023,S3,16.0,591.015
Mon Jan 30 12:13:12 2023,S3,16.0,590.27
