Date,Type,Selectivity,Total Time (s),Cost ($)
,,,0,
Mon Mar 13 13:29:34 2023,HSDS,0.05,1055.2558484077454,2.496680203399658
Mon Mar 13 13:48:38 2023,HSDS,0.05,1390.929279088974,2.496680203399658
Mon Mar 13 14:13:42 2023,HSDS,0.1,1634.194853067398,3.7517334367370605
Mon Mar 13 14:42:46 2023,HSDS,0.01,772.7598929405212,1.5257345656335355
Mon Mar 13 14:57:50 2023,HSDS,0.1,1361.8898222446442,3.7517334367370605
Mon Mar 13 15:21:54 2023,HSDS,0.05,1255.3969187736511,2.496680203399658
Mon Mar 13 15:44:58 2023,HSDS,0.01,885.434445142746,1.5257345656335355
Mon Mar 13 16:01:02 2023,HSDS,0.1,1925.6006660461426,3.7517334367370605
Mon Mar 13 16:35:07 2023,HSDS,0.01,751.1950256824493,1.5257345656335355
