Date,Type,# of range,Total Time
Tue Feb 14 18:32:03 2023,Google,256,41.7352
Tue Feb 14 18:33:07 2023,S3,0,43.4663
Tue Feb 14 18:34:25 2023,Google,256,44.0302
Tue Feb 14 18:35:44 2023,Google,0,44.2387
Tue Feb 14 18:36:48 2023,Azure,0,46.7005
Tue Feb 14 18:38:06 2023,Azure,0,44.2844
Tue Feb 14 18:39:27 2023,S3,256,49.6326
Tue Feb 14 18:40:46 2023,S3,0,45.1798
Tue Feb 14 18:42:05 2023,S3,0,42.6207
Tue Feb 14 18:43:08 2023,S3,256,49.3913
Tue Feb 14 18:44:27 2023,Azure,256,62.9733
Tue Feb 14 18:46:01 2023,S3,0,43.1355
Tue Feb 14 18:47:05 2023,S3,256,48.6278
Tue Feb 14 18:48:23 2023,S3,0,43.1557
Tue Feb 14 18:49:27 2023,Azure,0,168.088
Tue Feb 14 18:52:45 2023,Azure,256,48.0667
Tue Feb 14 18:54:04 2023,Google,0,39.0492
Tue Feb 14 18:55:23 2023,Azure,0,46.6016
Tue Feb 14 18:56:41 2023,Azure,256,53.1203
Tue Feb 14 18:58:01 2023,Google,256,44.3045
Tue Feb 14 18:59:21 2023,Azure,0,46.9382
Tue Feb 14 19:00:39 2023,Azure,256,49.2701
Tue Feb 14 19:01:58 2023,Azure,256,51.2
Tue Feb 14 19:03:17 2023,Google,256,47.8027
Tue Feb 14 19:04:35 2023,Google,0,37.6593
Tue Feb 14 19:05:39 2023,Google,0,40.0515
Tue Feb 14 19:06:43 2023,S3,256,49.0763
Tue Feb 14 19:08:01 2023,S3,256,49.5709
Tue Feb 14 19:09:20 2023,Google,0,41.7098
Tue Feb 14 19:10:39 2023,Google,256,44.9755
